"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
2;"Y2";"Crystal_C38-LF_D3.0mm_L8.0mm_Vertical";1;"32,768kHz";;;
3;"Y1";"Crystal_HC49-4H_Vertical";1;"16MHz";;;
4;"U5";"TO-92_Inline";1;"DS18B20";;;
5;"U3";"DIP-8_W7.62mm";1;"DS1302N+";;;
6;"U2";"DIP-16_W7.62mm_Socket_LongPads";1;"ULN2003A";;;
7;"U1";"DIP-28_W7.62mm_Socket_LongPads";1;"ATmega8-16PU";;;
8;"SW2,SW1";"SW_PUSH_6mm_H4.3mm";2;"SW_Push";;;
9;"R14,R13,R12,R11,R10,R9,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";7;"150";;;
10;"R3,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10k";;;
11;"LED1";"7-SEGMENT-4DIGIT-20MM";1;"7-SEGMENT-4DIGIT-20MM";;;
12;"J4";"PinHeader_1x03_P2.54mm_Horizontal";1;"Conn_01x03";;;
13;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
14;"J2";"PinSocket_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
15;"J1";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
16;"C2,C1";"C_Disc_D3.4mm_W2.1mm_P2.50mm";2;"15p";;;
17;"BT1";"BATTCOM_20MM_PTH";1;"Battery_Cell";;;
18;"R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"180";;;
19;"R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"33k";;;
20;"R7,R6,R5,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"2k4";;;
21;"Q5";"TO-92_Inline";1;"C1815GR";;;
22;"Q4,Q3,Q2,Q1";"TO-92_Inline";4;"SS9012H";;;
